seq,actor,ani,no,file,x,y,w,h
238,4,17,3,hunter_kick1_03.png,-0.513514817,0.0078125,74,128
239,4,17,4,hunter_kick1_04.png,-0.615385771,-0.0625,78,144
240,4,17,5,hunter_kick1_05.png,-0.427481592,-0.096551716,131,145
241,4,17,6,hunter_kick1_06.png,-1.627120018,-0.066176467,59,136
242,4,17,7,hunter_kick1_07.png,-1.46666801,0,75,133
243,4,17,8,hunter_kick1_08.png,-1.325302005,0,83,130
244,4,17,9,hunter_kick1_09.png,-1.695654035,0,69,133
245,4,17,10,hunter_kick1_10.png,-2.000000954,0.007407407,60,135
246,4,17,11,hunter_kick1_11.png,-1.692309022,0,65,132
247,4,17,12,hunter_kick1_12.png,-1.420290947,0,69,131
248,4,17,13,hunter_kick1_13.png,-1.531250954,0,64,136
249,4,17,14,hunter_kick1_14.png,-1.484850049,0,66,139
250,4,17,15,hunter_kick1_15.png,-1.619048953,0.007142857,63,140
251,4,17,16,hunter_kick1_16.png,-1.650794983,0,63,139
252,4,17,17,hunter_kick1_17.png,-1.600000978,0,65,138
253,4,18,0,hunter_kick2_00.png,0.293101907,0,58,138
254,4,18,1,hunter_kick2_01.png,0.157141596,-0.008403362,70,119
255,4,18,2,hunter_kick2_02.png,-0.142858401,0,70,138
256,4,18,3,hunter_kick2_03.png,-0.657144189,-0.139705896,70,136
257,4,18,4,hunter_kick2_04.png,-0.317073911,-0.1037037,123,135
258,4,18,5,hunter_kick2_05.png,-0.424243391,0.007692308,99,130
259,4,18,6,hunter_kick2_06.png,-0.515790522,0,95,130
260,4,18,7,hunter_kick2_07.png,-0.489584297,0,96,139
261,4,18,8,hunter_kick2_08.png,-0.812501073,0,80,144
262,4,18,9,hunter_kick2_09.png,-1.02816999,0,71,137
263,4,18,10,hunter_kick2_10.png,-1.057971954,0.007352941,69,136
264,4,18,11,hunter_kick2_11.png,-1.074627995,0,67,137
265,4,18,12,hunter_kick2_12.png,-1.090909958,0,66,139
266,4,18,13,hunter_kick2_13.png,-1.10769403,0,65,139
267,4,18,14,hunter_kick2_14.png,-1.10769403,0,65,138
268,4,19,0,hunter_kick3_00.png,0.293101907,0,58,138
269,4,19,1,hunter_kick3_01.png,0.285712808,0,63,123
270,4,19,2,hunter_kick3_02.png,-0.047620501,-0.120567396,63,141
271,4,19,3,hunter_kick3_03.png,-0.324325591,-0.246268705,74,134
272,4,19,4,hunter_kick3_04.png,-0.150376603,-0.107913703,133,139
273,4,19,5,hunter_kick3_05.png,-1.392858982,-0.068965517,56,145
274,4,19,6,hunter_kick3_06.png,-0.717392325,-0.006944444,92,144
275,4,19,7,hunter_kick3_07.png,-0.809524715,0.007692308,105,130
276,4,19,8,hunter_kick3_08.png,-1.133334994,0.008403362,75,119
277,4,19,9,hunter_kick3_09.png,-1.14865005,0.008403362,74,119
278,4,19,10,hunter_kick3_10.png,-1.164384961,0.008403362,73,119
279,4,19,11,hunter_kick3_11.png,-1.164384961,0.008474576,73,118
280,4,19,12,hunter_kick3_12.png,-1.180557013,0.008,72,125
281,4,19,13,hunter_kick3_13.png,-1.133334994,0.007575758,75,132
282,4,19,14,hunter_kick3_14.png,-1.281690955,0.007352941,71,136
283,4,19,15,hunter_kick3_15.png,-1.439394951,0,66,137
284,4,19,16,hunter_kick3_16.png,-1.476925015,0,65,137
285,4,19,17,hunter_kick3_17.png,-1.476925015,0,65,138
286,4,20,0,hunter_run_00.png,0.430554301,0.007042253,72,142
287,4,20,1,hunter_run_01.png,0.322579205,0,62,138
288,4,20,2,hunter_run_02.png,0.309857905,-0.021739131,71,138
289,4,20,3,hunter_run_03.png,0.246752098,-0.006993007,77,143
290,4,20,4,hunter_run_04.png,0.07246244,0.0141844,69,141
291,4,20,5,hunter_run_05.png,-0.031251431,0.01449275,64,138
292,4,20,6,hunter_run_06.png,0.291138113,0,79,137
293,4,20,7,hunter_run_07.png,0.426828086,-0.006993007,82,143
294,4,20,8,hunter_run_08.png,0.430554301,0.007042253,72,142
295,4,21,0,hunter_walk_00.png,0.338708192,0.007246377,62,138
296,4,21,1,hunter_walk_01.png,0.338708192,0.007246377,62,138
297,4,21,2,hunter_walk_02.png,0.384613991,-0.007407407,65,135
298,4,21,3,hunter_walk_03.png,0.441175103,0.007352941,68,136
299,4,21,4,hunter_walk_04.png,0.454544097,0.01459854,66,137
300,4,21,5,hunter_walk_05.png,0.419353396,0.01459854,62,137
301,4,21,6,hunter_walk_06.png,0.393441111,0.01449275,61,138
302,4,21,7,hunter_walk_07.png,0.390623599,0.007246377,64,138
303,4,21,8,hunter_walk_08.png,0.439998806,0,75,137
304,4,21,9,hunter_walk_09.png,0.475608587,0,82,136
305,4,21,10,hunter_walk_10.png,0.468353301,0.00729927,79,137
306,4,21,11,hunter_walk_11.png,0.405795813,0.00729927,69,137
307,4,21,12,hunter_walk_12.png,0.338708192,0.007246377,62,138
308,5,22,0,meia_kick1_00.png,0.424241006,-0.01438849,66,139
309,5,22,1,meia_kick1_01.png,-0.111112803,-0.01438849,54,139
310,5,22,2,meia_kick1_02.png,-0.298508793,-0.01538462,67,130
311,5,22,3,meia_kick1_03.png,-0.583334625,-0.0078125,72,128
312,5,22,4,meia_kick1_04.png,-0.705129385,-0.08219178,78,146
313,5,22,5,meia_kick1_05.png,-0.496183902,-0.109589003,131,146
314,5,22,6,meia_kick1_06.png,-1.65573895,-0.088235296,61,136
315,5,22,7,meia_kick1_07.png,-1.621623039,-0.01492537,74,134
316,5,22,8,meia_kick1_08.png,-1.469136953,-0.01538462,81,130
317,5,22,9,meia_kick1_09.png,-1.895524025,-0.01503759,67,133
318,5,22,10,meia_kick1_10.png,-2.418184042,-0.007407407,55,135
319,5,22,11,meia_kick1_11.png,-2.192984104,-0.007518797,57,133
320,5,22,12,meia_kick1_12.png,-1.761906028,-0.01526718,63,131
321,5,22,13,meia_kick1_13.png,-1.800001979,-0.01470588,60,136
322,5,22,14,meia_kick1_14.png,-1.803279996,-0.01438849,61,139
323,5,22,15,meia_kick1_15.png,-1.774194956,-0.007142857,62,140
324,5,22,16,meia_kick1_16.png,-1.718750954,-0.007142857,64,140
325,5,22,17,meia_kick1_17.png,-1.666668057,-0.01438849,66,139
326,5,23,0,meia_kick2_00.png,0.259257615,-0.01449275,54,138
327,5,23,1,meia_kick2_01.png,0.154928297,-0.02542373,71,118
328,5,23,2,meia_kick2_02.png,-0.171429902,-0.01449275,70,138
329,5,23,3,meia_kick2_03.png,-0.890626371,-0.152173907,64,138
330,5,23,4,meia_kick2_04.png,-0.425000787,-0.125925899,120,135
331,5,23,5,meia_kick2_05.png,-0.525774121,-0.007692308,97,130
332,5,23,6,meia_kick2_06.png,-0.612904191,-0.007575758,93,132
333,5,23,7,meia_kick2_07.png,-0.606383979,-0.01428571,94,140
334,5,23,8,meia_kick2_08.png,-1.000000954,-0.01388889,75,144
335,5,23,9,meia_kick2_09.png,-1.114287019,-0.01459854,70,137
336,5,23,10,meia_kick2_10.png,-1.100000978,-0.007352941,70,136
337,5,23,11,meia_kick2_11.png,-1.132354021,-0.007246377,68,138
338,5,23,12,meia_kick2_12.png,-1.166668057,-0.01438849,66,139
339,5,23,13,meia_kick2_13.png,-1.184617043,-0.01438849,65,139
340,5,23,14,meia_kick2_14.png,-1.166668057,-0.01438849,66,139
341,5,24,0,meia_kick3_00.png,0.280700088,-0.007142857,57,140
342,5,24,1,meia_kick3_01.png,0.262293607,-0.01639344,61,122
343,5,24,2,meia_kick3_02.png,-0.196430206,-0.133802801,56,142
344,5,24,3,meia_kick3_03.png,-0.492309093,-0.26666671,65,135
345,5,24,4,meia_kick3_04.png,-0.212121904,-0.120567396,132,141
346,5,24,5,meia_kick3_05.png,-1.581820011,-0.08275862,55,145
347,5,24,6,meia_kick3_06.png,-0.774194479,-0.02797203,93,143
348,5,24,7,meia_kick3_07.png,-0.866667509,-0.007692308,105,130
349,5,24,8,meia_kick3_08.png,-1.197370052,-0.008474576,76,118
350,5,24,9,meia_kick3_09.png,-1.197370052,0,76,119
351,5,24,10,meia_kick3_10.png,-1.197370052,0,76,119
352,5,24,11,meia_kick3_11.png,-1.197370052,0,76,119
353,5,24,12,meia_kick3_12.png,-1.213335037,-0.008064516,75,124
354,5,24,13,meia_kick3_13.png,-1.213335037,-0.007575758,75,132
355,5,24,14,meia_kick3_14.png,-1.333335042,-0.007352941,72,136
356,5,24,15,meia_kick3_15.png,-1.569231987,-0.007246377,65,138
357,5,24,16,meia_kick3_16.png,-1.569231987,-0.01449275,65,138
358,5,24,17,meia_kick3_17.png,-1.545456052,-0.007194245,66,139
359,5,25,0,meia_run_00.png,0.442855805,-0.007042253,70,142
360,5,25,1,meia_run_01.png,0.267855495,-0.01438849,56,139
361,5,25,2,meia_run_02.png,0.314284414,-0.035971221,70,139
362,5,25,3,meia_run_03.png,0.249998793,-0.020979021,76,143
363,5,25,4,meia_run_04.png,0.059700131,0,67,142
364,5,25,5,meia_run_05.png,-0.047620501,0.007194245,63,139
365,5,25,6,meia_run_06.png,0.294870585,-0.01459854,78,137
366,5,25,7,meia_run_07.png,0.439023286,-0.02083333,82,144
367,5,25,8,meia_run_08.png,0.442855805,-0.007042253,70,142
368,5,26,0,meia_walk_00.png,0.259257615,-0.007246377,54,138
369,5,26,1,meia_walk_01.png,0.298243999,-0.007246377,57,138
370,5,26,2,meia_walk_02.png,0.390623599,-0.022222221,64,135
371,5,26,3,meia_walk_03.png,0.447759807,-0.007352941,67,136
372,5,26,4,meia_walk_04.png,0.461537093,0,65,136
373,5,26,5,meia_walk_05.png,0.385963291,0,57,137
374,5,26,6,meia_walk_06.png,0.339284092,0,56,138
375,5,26,7,meia_walk_07.png,0.399998605,-0.007246377,65,138
376,5,26,8,meia_walk_08.png,0.435896188,-0.01459854,78,137
377,5,26,9,meia_walk_09.png,0.488094211,-0.01470588,84,136
378,5,26,10,meia_walk_10.png,0.48148039,-0.007352941,81,136
379,5,26,11,meia_walk_11.png,0.405795813,-0.00729927,69,137
380,5,26,12,meia_walk_12.png,0.259257615,-0.007246377,54,138
381,6,27,0,erana_kick1_00.png,0.432834387,0,67,143
382,6,27,1,erana_kick1_01.png,-0.111112803,0,54,143
383,6,27,2,erana_kick1_02.png,-0.298508793,0,67,134
384,6,27,3,erana_kick1_03.png,-0.538462698,0.007575758,78,132
385,6,27,4,erana_kick1_04.png,-0.604652226,-0.059602652,86,151
386,6,27,5,erana_kick1_05.png,-0.464286387,-0.092105262,140,152
387,6,27,6,erana_kick1_06.png,-1.625000954,-0.070921987,64,141
388,6,27,7,erana_kick1_07.png,-1.544304967,-0.00729927,79,137
389,6,27,8,erana_kick1_08.png,-1.375000954,0,88,134
390,6,27,9,erana_kick1_09.png,-1.911766052,0,68,137
391,6,27,10,erana_kick1_10.png,-2.490911007,0,55,138
392,6,27,11,erana_kick1_11.png,-2.363637924,0,55,136
393,6,27,12,erana_kick1_12.png,-1.809525013,0,63,135
394,6,27,13,erana_kick1_13.png,-1.836066961,0,61,141
395,6,27,14,erana_kick1_14.png,-1.712123036,0,66,143
396,6,27,15,erana_kick1_15.png,-1.686568022,0.006896552,67,145
397,6,27,16,erana_kick1_16.png,-1.686568022,0.006944444,67,144
398,6,27,17,erana_kick1_17.png,-1.686568022,0,67,143
399,6,28,0,erana_kick2_00.png,0.285712689,0,56,142
400,6,28,1,erana_kick2_01.png,0.1690128,-0.008196721,71,122
401,6,28,2,erana_kick2_02.png,-0.142858297,0,77,143
402,6,28,3,erana_kick2_03.png,-0.716217518,-0.133802801,74,142
403,6,28,4,erana_kick2_04.png,-0.387597591,-0.107142903,129,140
404,6,28,5,erana_kick2_05.png,-0.425926805,0.007462686,108,134
405,6,28,6,erana_kick2_06.png,-0.49523899,0,105,135
406,6,28,7,erana_kick2_07.png,-0.580000877,0,100,144
407,6,28,8,erana_kick2_08.png,-0.951220572,0,82,149
408,6,28,9,erana_kick2_09.png,-1.066668034,0,75,142
409,6,28,10,erana_kick2_10.png,-1.126762033,0.007142857,71,140
